"Generate Export File(s) now","Export-Feed jetzt generieren"
"Test Connection now","Verbindung jetzt testen"
"Update Field Roles","Feldrollen aktualisieren"
"Feed successfully generated","Feed erfolgreich generiert"
"Field roles updated successfully","Feldrollen erfolgreich aktualisiert"
"Connection successfully established.","Verbindung erfolgreich hergestellt."
"Endpoint missing","Fehlender Endpoint"
"Unable to save the cron expression.","Die Cron-Anweisung konnte nicht gespeichert werden."
Yes,Ja
No,Nein
"FACT-Finder response exception: %1, thrown at %2","FACT-Finder response exception: %1, thrown at %2"
"Remove Filter","Filter zurücksetzen"
"Show More","Mehr anzeigen"
"Show Less","Weniger anzeigen"
"Your search for:","Der Suchbegriff"
"produced <span>{{resultCount}}</span> results","ergab <span>{{resultCount}}</span> Ergebnisse."
"Product Campaign","Produktkampagne"
"Show","Zeige"
"products per page","Artikel pro Seite"
Recommendations,"Empfohlene Produkte"
"Add to Cart","In den Warenkorb"
"{{resultCount}} Items","{{resultCount}} Artikel"
Search…,Suchen…
"Similar products","Ähnliche Produkte"
"Sort By","Sortierung"
Pages,Seiten
"Search suggestions","Suchbegriffe"
"Category suggestions","Kategorien"
Brands,Marken
"Suggested products","Empfohlene Produkte"
FACT-Finder&reg;,FACT-Finder&reg;
"Advanced Settings","Erweiterte Einstellungen"
"API version","API-Version"
"FACT-Finder version.","FACT-Finder Version."
"Use URL parameters?","URL-Parameter verwenden?"
"If set to true, the http parameters of the current search are pushed to the browser url.","Wenn auf JA gesetzt, werden die http-Parameter der aktuellen Suche in die Browser-URL eingefügt."
"Only search parameters?","Nur Suchparameter?"
"If present, URL parameters like 'channel' and 'sid' are omitted in the URL. This can be used in conjunction with parameter-whitelist","If present, URL parameters like 'channel' and 'sid' are omitted in the URL. This can be used in conjunction with parameter-whitelist"
"Parameter whitelist","Parameter-Whitelist"
"If any URL parameters are omitted through other attributes like use-url-parameter=""false"" or only-search-params you can add specific important parameters manually. Just use a comma separated list like: parameter-whitelist=""param1,myParam""","If any URL parameters are omitted through other attributes like use-url-parameter=""false"" or only-search-params you can add specific important parameters manually. Just use a comma separated list like: parameter-whitelist=""param1,myParam"""
"Comma-separated value","Komma-getrennter Wert"
"Add search parameters","Zusätzliche Suchparameter"
"With this property you can deliver standard parameters which will then be attached to the search request. Example: param1=abc,param2=xyz.","In diesem Feld können Sie Parameter bestimmen, die an die Suchanfrage angefügt werden. Beispiel: param1=abc,param2=xyz."
"Add tracking parameters","Zusätzliche Trackingparameter"
"With this property you can deliver standard parameters which are attached to every tracking request. Example: param1=abc,param2=xyz.","In diesem Feld können Sie Parameter bestimmen, die an jede Trackinganfrage angefügt werden. Beispiel: param1=abc,param2=xyz."
"Keep URL parameters","Keep URL parameters"
"Determines if parameters which are written into the URL should be kept.","Bestimmt ob Parameter, die in die URL geschrieben werden, beibehalten werden sollen."
"Export enabled","Export enabled"
Channel,Channel
"Pages Blacklist","Pages Blacklist"
"Selected pages will not be exported","Selected pages will not be exported"
"Activated Web-Components","Aktivierte Web-Components"
Suggestions,Empfehlungen
"Filter / ASN","Filter / ASN"
Paging,Paginierung
Sorting,Sortierung
Breadcrumbs,Breadcrumbs
"Products per page","Produkte pro Seite"
Campaigns,Kampagnen
"Pushed products","Pushed products"
"Cron Schedule","Cron Schedule"
"Generate export files(s) automatically","Generate export files(s) automatically"
"Start Time","Startzeit"
"Cron execution frequency","Ausführungshäufigkeit"
"Export settings","Export-Einstellungen"
"<div class=""message message-notice notice""><div data-ui-id=""messages-message-success"">Please always save the config in the upper right corner after making changes.</div></div>","<div class=""message message-notice notice""><div data-ui-id=""messages-message-success"">Damit Änderungen übernommen werden, müssen diese zuerst über die Speichern-Schaltfläche oben rechts gespeichert werden.</div></div>"
"Upload Host","FTP-Host"
"Please specify the FTP server address, where the export file(s) should be uploaded. For example shopname.fact-finder.de.","Geben Sie hier den FTP Server an, auf den der Produktdaten Export hochgeladen werden soll, z.B. shopname.fact-finder.de."
"Upload User","FTP-Benutzername"
"Upload Password","FTP-Passwort"
"Select Additional Attributes","Zusätzliche Attribute auswählen"
"Select all attributes which should be exported to the product feed.","Wählen Sie alle Attribute aus, die in den Produktfeed exportiert werden sollen."
"Leave empty if you use default port 21.", "Lassen Sie bitte das Feld leer, wenn der Port 21 benutzt wird"
"Generate Export File","Export-Feed generieren"
"On buttonclick CSV exports of all your products will be generated and uploaded to the specified FTP Server.","Auf Knopfdruck werden CSV-Exporte Ihrer Produktdaten erstellt und auf den angegebenen FTP-Server hochgeladen."
"On buttonclick Field Roles set in FACT-Finder backend will be stored in module configuration","On buttonclick Field Roles set in FACT-Finder backend will be stored in module configuration"
"Automatic import of product data","Automatic import of product data"
"Runs an automatic import of the product data to the FACT-Finder servers, after the FTP upload is finished.","Startet nach dem FTP Upload der Produktdaten den automatischen Import zum FACT-Finder Server."
"Pushed import types","Pushed import types"
"HTTP Export","HTTP-Export"
"Basic Auth User","Basic Auth User"
"Basic Auth Password","Basic Auth Password"
"Main Settings","Grundeinstellungen"
"Activate FACT-Finder integration","FACT-Finder Erweiterung aktivieren"
"Activate Logging","Logging aktivieren"
"Server URL","Server-URL"
Username,Benutzername
Password,Passwort
"Authentication Prefix","Authentifizierungs-Präfix"
"Authentication Postfix","Authentifizierungs-Postfix"
"Test Connection","Verbindung testen"
"Test FTP Connection","Upload File test"
"Use FACT-Finder® for category pages?","Kategorieseiten mit FACT-Finder® rendern?"
"Show 'Add to Cart' button in search results","'In den Warenkorb'-Button auf Produktlisten anzeigen"
"Use Proxy","Proxy aktivieren?"
"Using Proxy allows you to refine the data coming back from FACT-Finder inside the SDK code. Please refer the documentation for more infos (last chapter about data-communication).","Mit der Daten-Anreicherungsfunktion können Sie die Daten überarbeiten, die von FACT-Finder zurückkommen. Weitere Informationen dazu finden Sie in der Dokumentation im Abschnitt über den Ablauf der Datenkommunikation."
